step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
79,1786707652.3253,1786707652.3299,0.03344,37.5385,3.3846,9.3187,81.0549,-5.4945,3.5714,35.7987,4.8318,7.0431,78.3618,-4.3711,3.5160,35.7987,4.8318,7.0431,78.3618,-4.3711,3.5160,150,0,-850,-400,350,0,0
80,1786707652.3586,1786707652.3628,0.03337,37.5385,4.1758,7.3846,80.8791,-4.3516,3.5714,36.8181,3.5347,12.2404,78.5917,-3.8613,3.4155,36.8181,3.5347,12.2404,78.5917,-3.8613,3.4155,0,350,-800,-250,400,0,0
81,1786707652.392,1786707652.3963,0.03337,37.0110,4.6154,7.6484,80.7912,-4.2637,3.5714,37.7597,1.8784,12.3256,78.0184,-3.1194,3.6407,37.7597,1.8784,12.3256,78.0184,-3.1194,3.6407,-100,200,-50,50,0,0,0
82,1786707652.4254,1786707652.4297,0.03337,36.3956,4.8791,9.4945,80.2637,-4.4396,3.5053,36.7155,3.5041,12.5922,77.1454,-3.5713,3.7971,36.7155,3.5041,12.5922,77.1454,-3.5713,3.7971,-250,100,700,-150,-100,0,0
83,1786707652.4588,1786707652.4631,0.03341,36.5714,4.9670,11.2527,78.9451,-3.9121,3.5053,36.7697,2.2253,14.3483,75.5801,-2.0821,3.6033,36.7697,2.2253,14.3483,75.5801,-2.0821,3.6033,100,50,700,-400,100,-50,0
84,1786707652.4922,1786707652.4965,0.03339,36.9231,4.8791,12.1319,78.4176,-4.0000,3.5714,35.6349,3.2012,16.9548,76.3000,-1.7445,3.7121,35.6349,3.2012,16.9548,76.3000,-1.7445,3.7121,100,0,350,-100,0,50,0
85,1786707652.5256,1786707652.5299,0.03344,37.0110,4.7033,12.9231,77.0989,-3.3846,3.5714,35.3597,2.1178,14.5757,76.2801,-0.7563,3.3528,35.3597,2.1178,14.5757,76.2801,-0.7563,3.3528,50,-50,300,-450,100,0,0
86,1786707652.559,1786707652.5632,0.0334,36.8352,4.6154,14.6813,76.5714,-2.6813,3.5714,35.0419,5.6439,10.8121,76.3969,-1.8271,3.8576,35.0419,5.6439,10.8121,76.3969,-1.8271,3.8576,0,0,500,-50,250,0,0
87,1786707652.5924,1786707652.5966,0.03339,36.1319,4.7912,16.0000,76.9231,-1.8901,3.5053,34.5186,4.0725,13.9736,75.1229,-2.0482,3.4682,34.5186,4.0725,13.9736,75.1229,-2.0482,3.4682,-250,100,500,200,300,-50,0
88,1786707652.6258,1786707652.6301,0.03335,35.4286,4.9670,15.7363,76.6593,-2.0659,3.5714,34.8809,2.2880,12.8267,76.3822,-3.2240,3.4534,34.8809,2.2880,12.8267,76.3822,-3.2240,3.4534,-250,50,-100,-100,100,50,0
89,1786707652.6591,1786707652.6635,0.03338,35.1648,4.8791,14.8571,76.2198,-2.1538,3.5714,35.5546,4.3180,10.8363,75.7283,-2.7214,3.2741,35.5546,4.3180,10.8363,75.7283,-2.7214,3.2741,-100,0,-300,-150,0,0,0
90,1786707652.6926,1786707652.6971,0.03342,35.1648,4.6154,14.5055,75.6923,-2.5934,3.5714,33.5721,2.6389,14.6697,74.1446,-3.3203,3.2881,33.5721,2.6389,14.6697,74.1446,-3.3203,3.2881,0,-100,-150,-300,-150,0,0
91,1786707652.726,1786707652.7303,0.03343,35.2527,4.5275,13.9780,76.1319,-2.5934,3.5053,34.3884,3.7456,13.1477,74.0530,-2.7817,3.4322,34.3884,3.7456,13.1477,74.0530,-2.7817,3.4322,0,-50,-200,150,-100,0,0
92,1786707652.7594,1786707652.7636,0.03337,35.2527,4.5275,13.5385,75.0769,-2.9451,3.5053,34.1873,3.5088,13.9798,74.8003,-1.2890,3.2311,34.1873,3.5088,13.9798,74.8003,-1.2890,3.2311,0,0,-200,-500,-150,0,0
93,1786707652.7928,1786707652.7971,0.0334,34.8132,4.5275,13.5385,74.6374,-2.8571,3.5053,33.5708,3.7609,12.6041,74.1018,-2.1456,3.3452,33.5708,3.7609,12.6041,74.1018,-2.1456,3.3452,-150,0,-50,-250,50,0,0
94,1786707652.8261,1786707652.8302,0.03334,34.2857,4.5275,14.0659,74.9890,-2.2418,3.5053,33.4854,6.2574,11.9049,71.0276,-1.9157,3.3322,33.4854,6.2574,11.9049,71.0276,-1.9157,3.3322,-150,0,200,150,200,0,0
