step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
63,1787057993.9142,1787057993.9183,0.03341,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.2773,-99.2308,100.3168,77.4202,-88.2012,2.0420,0.2773,-99.2308,100.3168,77.4202,-88.2012,2.0420,0,0,0,0,0,0,0
64,1787057993.9475,1787057993.9516,0.03337,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.3747,-99.3362,100.0967,77.3767,-87.9650,2.0189,0.3747,-99.3362,100.0967,77.3767,-87.9650,2.0189,0,0,0,0,0,0,0
65,1787057993.9809,1787057993.985,0.03339,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.3586,-99.3856,99.9762,77.4775,-88.0040,2.0485,0.3586,-99.3856,99.9762,77.4775,-88.0040,2.0485,0,0,0,0,0,0,0
66,1787057994.0143,1787057994.0185,0.03337,0.4396,-98.7692,97.3187,77.4505,-88.3956,2.3148,0.2662,-99.4103,100.3442,77.5075,-88.1237,2.0141,0.2662,-99.4103,100.3442,77.5075,-88.1237,2.0141,0,-50,0,0,0,0,0
67,1787057994.0477,1787057994.0518,0.03341,0.4396,-98.9451,97.3187,77.4505,-88.3956,2.3148,0.5259,-99.4509,100.1166,77.5365,-88.0812,2.0370,0.5259,-99.4509,100.1166,77.5365,-88.0812,2.0370,0,-50,0,0,0,0,0
68,1787057994.0811,1787057994.0852,0.03339,0.4396,-98.9451,97.3187,77.4505,-88.3077,2.3148,0.5475,-99.3690,100.1365,77.5774,-88.1236,2.0399,0.5475,-99.3690,100.1365,77.5774,-88.1236,2.0399,0,-50,0,0,0,0,0
69,1787057994.1145,1787057994.1187,0.0334,0.3516,-99.0330,97.3187,77.4505,-88.3077,2.3148,0.4557,-99.1671,100.2099,77.5578,-88.0392,2.0928,0.4557,-99.1671,100.2099,77.5578,-88.0392,2.0928,-50,0,0,0,0,0,0
70,1787057994.1479,1787057994.1524,0.03341,0.3516,-99.0330,97.3187,77.4505,-88.3077,2.3148,0.5280,-99.3577,100.1601,77.7233,-88.0008,2.0443,0.5280,-99.3577,100.1601,77.7233,-88.0008,2.0443,0,0,0,0,0,0,0
71,1787057994.1813,1787057994.1855,0.03337,0.3516,-99.0330,97.3187,77.4505,-88.3077,2.3148,0.5353,-99.6028,100.2242,77.5892,-88.1292,2.0119,0.5353,-99.6028,100.2242,77.5892,-88.1292,2.0119,0,0,0,0,0,0,0
72,1787057994.2147,1787057994.219,0.03338,0.3516,-99.0330,97.3187,77.4505,-88.3077,2.3148,0.4284,-99.3730,100.3375,77.6709,-88.0931,1.9886,0.4284,-99.3730,100.3375,77.6709,-88.0931,1.9886,0,0,0,0,0,0,0
